text,hashtags,date,user,users number of followers,location
"@CalebJHull It’s been 2 minutes and I can already tell this is going to be one long smear campaign. How many times is she going to ask the same questions about Covid?
",[],2020-10-16 00:10:13,LI_NY_Patriot,571,
"@NBCnews this is already ridiculous with @SavannahGuthrie hectoring Trump about Masks and Tests.  Get on with the Town Hall..  Savannah guess what - you aren't wearing a mask. And trump is correct 85% of people wearing masks got Covid.  Stop debating @potus yourself #election2020
",[],2020-10-16 00:10:13,CapCube,1925,"And When You Lose Control, You Reap The Harvest You Have Sown"
"Omg, move on from the COVID questions! I want to beat my head against a wall.
",[],2020-10-16 00:10:13,ARoyalPatriot,630,
"oh my
",[],2020-10-16 00:10:13,yerownrisk_,599,"Houston, TX"
"During the COVID testing segment, I would have loved it if @SavannahGuthrie would have asked Trump if he had studied for all those tests, just to see how he would lie about it.  ...Because you know he would have.
",[],2020-10-16 00:10:14,AWillToThink,300,"Sunny, sandy blue sky Delaware"
"#Louisiana this matters whether you think so or not
",['Louisiana'],2020-10-16 00:10:14,faithinbones,1933,"Louisiana, USA"
"Samantha Guthrie is not up to this evidently. Is this a TownHall or a #COVID inquisition? #Trump2020LandslideVictory
","['COVID', 'Trump2020LandslideVictory']",2020-10-16 00:10:14,BeVigilantToday,796,
"So if you are wearing a mask, you’ll never get COVID-19.  And how dare Savannah Guthrie turn it around to suggest President blames a Gold Star family for giving him the virus.
",[],2020-10-16 00:10:16,lorigeishecker,2649,Massachusetts
"Watching POTUS on the Town Hall with Savannah Guthrie. Already she is interrupting him, combative &amp; trying to corner him about the timing of his positive COVID test &amp; being around people. This is already worse than Chris Wallace.  Why do they have to be rude and unprofessional?
",[],2020-10-16 00:10:16,MapYourWorld1,897,United States
"Hey, Trump, wear a god damned mask.  Trump: many people are catching covid  You dumbass, that's why I just said wear a mask.
",[],2020-10-16 00:10:16,Dknight10k,21169,Tennessee
"@JGilliam_SEAL @nbc @realDonaldTrump No kidding. Let's move on Covid is so May
",[],2020-10-16 00:10:16,Zuzusmama,55,"Texas, USA"
"Well someone seems pretty sure that Trump is about to lose
",[],2020-10-16 00:10:16,YaronWeitzman,5842,
